if {[file exists ~/openlane2/my_script/script_matt.tcl]} {
    source ~/openlane2/my_script/script_matt.tcl
}
Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/hien/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/hien/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/hien/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/hien/openlane2/designs/highspeed_pipelined_multiplier/runs/opti_6/34-openroad-cts/pipelined_mult.odb'…
Reading design constraints file at '/home/hien/openlane2/designs/highspeed_pipelined_multiplier/src/pnr.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 78 endpoints with setup violations.
[INFO RSZ-0099] Repairing 78 out of 78 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -1.762 |      -85.9 |     78 | _20661_/D
       10 |       0 |       8 |        8 |      0 |     0 |   -1.633 |      -81.5 |     78 | _20696_/D
       20 |       0 |      18 |        8 |      0 |     0 |   -1.441 |      -76.3 |     78 | _20687_/D
       30 |       0 |      28 |        8 |      0 |     0 |   -1.391 |      -71.3 |     78 | _20696_/D
       40 |       0 |      38 |        8 |      0 |     0 |   -1.332 |      -69.0 |     78 | _20661_/D
       50 |       0 |      48 |        8 |      0 |     0 |   -1.312 |      -67.8 |     78 | _20695_/D
       60 |       0 |      58 |        8 |      0 |     0 |   -1.261 |      -66.1 |     78 | _20757_/D
       70 |       0 |      67 |       15 |      0 |     0 |   -1.222 |      -64.6 |     78 | _20687_/D
       80 |       0 |      75 |       15 |      0 |     2 |   -1.222 |      -64.0 |     78 | _20695_/D
       90 |       0 |      83 |       20 |      0 |     3 |   -1.193 |      -62.6 |     78 | _20695_/D
      100 |       0 |      93 |       20 |      0 |     3 |   -1.158 |      -60.9 |     78 | _20661_/D
      110 |       0 |     102 |       27 |      0 |     3 |   -1.135 |      -57.0 |     78 | _20696_/D
      120 |       0 |     110 |       27 |      1 |     4 |   -1.108 |      -55.6 |     78 | _20757_/D
      130 |       0 |     119 |       27 |      1 |     5 |   -1.075 |      -53.8 |     78 | _20695_/D
      140 |       0 |     128 |       30 |      1 |     5 |   -1.098 |      -52.6 |     78 | _20728_/D
      150 |       0 |     138 |       30 |      1 |     5 |   -1.029 |      -50.6 |     78 | _20728_/D
      160 |       0 |     147 |       34 |      1 |     5 |   -1.007 |      -50.1 |     78 | _20757_/D
      170 |       0 |     151 |       65 |      1 |     6 |   -0.984 |      -48.2 |     78 | _20757_/D
      180 |       0 |     160 |       65 |      1 |     7 |   -0.979 |      -46.9 |     78 | _20661_/D
      190 |       0 |     169 |       65 |      1 |     8 |   -0.938 |      -45.9 |     78 | _20661_/D
      200 |       0 |     178 |       65 |      1 |     9 |   -0.921 |      -45.1 |     78 | _20728_/D
      210 |       0 |     188 |       65 |      1 |     9 |   -0.905 |      -44.4 |     78 | _20661_/D
      220 |       0 |     197 |       65 |      1 |    10 |   -0.892 |      -43.5 |     78 | _20728_/D
      230 |       0 |     206 |       65 |      1 |    11 |   -0.878 |      -43.0 |     78 | _20728_/D
      240 |       0 |     216 |       65 |      1 |    11 |   -0.862 |      -42.3 |     78 | _20687_/D
      250 |       1 |     224 |       69 |      1 |    11 |   -0.846 |      -41.2 |     78 | _20728_/D
      260 |       1 |     232 |       77 |      1 |    11 |   -0.821 |      -40.5 |     78 | _20728_/D
      270 |       1 |     239 |       79 |      1 |    13 |   -0.808 |      -39.5 |     78 | _20659_/D
      280 |       1 |     247 |       79 |      1 |    15 |   -0.816 |      -38.9 |     78 | _20661_/D
      290 |       1 |     256 |       79 |      1 |    16 |   -0.788 |      -38.3 |     78 | _20661_/D
      300 |       1 |     265 |       79 |      1 |    17 |   -0.791 |      -37.7 |     78 | _20661_/D
      310 |       1 |     270 |       81 |      1 |    21 |   -0.802 |      -37.1 |     78 | _20661_/D
      320 |       2 |     277 |       83 |      1 |    22 |   -0.763 |      -35.4 |     78 | _20757_/D
      330 |       2 |     284 |       85 |      1 |    24 |   -0.753 |      -35.5 |     78 | _20727_/D
      340 |       2 |     291 |       85 |      1 |    27 |   -0.748 |      -35.2 |     78 | _20753_/D
      350 |       2 |     299 |       94 |      1 |    27 |   -0.757 |      -34.5 |     78 | _20757_/D
      360 |       2 |     307 |       96 |      1 |    28 |   -0.726 |      -32.9 |     78 | _20757_/D
      370 |       2 |     315 |       96 |      2 |    29 |   -0.716 |      -31.8 |     78 | _20757_/D
      380 |       2 |     324 |       99 |      2 |    29 |   -0.728 |      -31.3 |     78 | _20753_/D
      390 |       2 |     330 |      108 |      2 |    30 |   -0.692 |      -31.6 |     78 | _20681_/D
      400 |       2 |     338 |      112 |      2 |    30 |   -0.688 |      -31.5 |     78 | _20757_/D
      410 |       2 |     347 |      115 |      2 |    30 |   -0.687 |      -30.4 |     78 | _20727_/D
      420 |       2 |     355 |      120 |      2 |    30 |   -0.657 |      -28.6 |     78 | _20661_/D
      430 |       2 |     362 |      124 |      2 |    31 |   -0.645 |      -27.8 |     78 | _20687_/D
      440 |       2 |     370 |      124 |      3 |    32 |   -0.630 |      -27.1 |     78 | _20755_/D
      450 |       2 |     378 |      124 |      4 |    33 |   -0.656 |      -26.0 |     78 | _20728_/D
      460 |       2 |     388 |      124 |      4 |    33 |   -0.637 |      -25.9 |     78 | _20728_/D
      470 |       2 |     393 |      124 |      5 |    37 |   -0.654 |      -25.4 |     78 | _20727_/D
      480 |       2 |     402 |      124 |      5 |    38 |   -0.596 |      -24.7 |     78 | _20727_/D
      490 |       2 |     411 |      126 |      5 |    38 |   -0.589 |      -24.2 |     78 | _20728_/D
      500 |       2 |     419 |      129 |      5 |    39 |   -0.582 |      -23.9 |     78 | _20661_/D
      510 |       2 |     427 |      131 |      5 |    40 |   -0.585 |      -23.6 |     78 | _20728_/D
      520 |       2 |     436 |      133 |      5 |    40 |   -0.574 |      -23.4 |     78 | _20695_/D
      530 |       2 |     444 |      135 |      5 |    41 |   -0.566 |      -22.8 |     78 | _20687_/D
      540 |       2 |     453 |      135 |      5 |    42 |   -0.554 |      -22.3 |     78 | _20727_/D
      550 |       2 |     462 |      137 |      5 |    42 |   -0.574 |      -22.1 |     78 | _20687_/D
      560 |       2 |     468 |      146 |      6 |    44 |   -0.541 |      -21.5 |     78 | _20687_/D
      570 |       2 |     476 |      146 |      7 |    45 |   -0.537 |      -20.9 |     78 | _20728_/D
      580 |       2 |     485 |      151 |      7 |    45 |   -0.527 |      -20.6 |     78 | _20661_/D
      590 |       2 |     492 |      153 |      7 |    47 |   -0.523 |      -20.5 |     78 | _20728_/D
      600 |       2 |     502 |      153 |      7 |    47 |   -0.534 |      -20.2 |     78 | _20695_/D
      610 |       2 |     509 |      161 |      7 |    48 |   -0.508 |      -19.6 |     78 | _20727_/D
